Link,Namegame,Game_image,Category,Capacity,language,Graphics,Vote
https://afkmobi.com/game/ban-trung-h5,Bắn Trứng H5,https://upload.afkmobi.com/photos/afkmobi-com/2020/09/afkmobi_ban_trung_khung_long_h5_logo.png,Game H5,40Mb,"Việt Nam, English",2D,5/5 - (103 bình chọn)
https://afkmobi.com/game/phong-thu-dia-dao-h5,Phòng Thủ Địa Đạo H5,https://upload.afkmobi.com/photos/afkmobi-com/2022/10/afkmobi_phong_thu_dia_dao_h5_icon_hd.png,Game H5,20 MB,"Việt Nam, English",2D,5/5 - (101 bình chọn)
https://afkmobi.com/game/con-duong-vo-lam-h5,Con Đường Võ Lâm H5,https://upload.afkmobi.com/photos/afkmobi-com/2021/11/afkmobi_con_duong_vo_lam_h5_logo.png,Game H5,20MB,Việt Nam,2D,5/5 - (101 bình chọn)
https://afkmobi.com/game/ao-mong-3q-h5,Ảo Mộng 3Q H5,https://upload.afkmobi.com/photos/afkmobi-com/2025/08/afkmobi_ao_mong_3q_icon_hd.png,Game H5,30 MB,Việt Nam,2D,4.1/5 - (7 bình chọn)
https://afkmobi.com/game/thuy-than-troi-day-h5,Thủy Thần Trỗi Dậy H5,https://upload.afkmobi.com/photos/afkmobi-com/2020/11/afkmobi_thuy_than_troi_day_h5_logo.png,Game H5,40MB,"Việt Nam, English",2D,5/5 - (100 bình chọn)
https://afkmobi.com/game/linh-sieu-tien-hoa-h5,Lính Siêu Tiến Hóa H5,https://upload.afkmobi.com/photos/afkmobi-com/2022/10/afkmobi_linh_sieu_tien_hoa_icon_hd.png,Game H5,10 MB,Việt Nam,3D,5/5 - (100 bình chọn)
https://afkmobi.com/game/trum-sung-nuoc-h5,Trùm Súng Nước H5,https://upload.afkmobi.com/photos/afkmobi-com/2022/11/afkmobi_trum_sung_nuoc_h5_icon_hd.png,Game H5,20 MB,Việt Nam,3D,5/5 - (100 bình chọn)
https://afkmobi.com/game/linh-hon-dai-chien-h5,Linh Hồn Đại Chiến H5,https://upload.afkmobi.com/photos/afkmobi-com/2022/11/afkmobi_linh_hon_dai_chien_h5_icon_hd.png,Game H5,20 MB,Việt Nam,2D,5/5 - (103 bình chọn)
https://afkmobi.com/game/vuong-gia-3v3-h5,Vương Giả 3v3 H5,https://upload.afkmobi.com/photos/afkmobi-com/2022/12/afkmobi_vuong_gia_3vs3_h5_icon_hd.png,Game H5,50 MB,Việt Nam,3D,5/5 - (101 bình chọn)
